drug,n_pathways_tnbc,mean_pathway_score_tnbc,max_pathway_score_tnbc,sum_pathway_score_tnbc
CHEMBL1911,4,0.00046077408962202085,0.0004931057336792899,0.0018430963584880834
CHEMBL1912,3,0.00044033979297473285,0.0005201500436453792,0.0013210193789241985
CHEMBL1913,15,0.0005867428516183922,0.0007432413772932941,0.008801142774275884
CHEMBL1914,10,0.0004992064543826898,0.0006389875419489833,0.004992064543826898
CHEMBL1916,17,0.00046658489202841975,0.00066485240794668,0.007931943164483136
CHEMBL1919,5,0.0005264456176676026,0.00060014169080395,0.0026322280883380126
CHEMBL1920,7,0.0005305850386252203,0.0008031264859969046,0.003714095270376542
CHEMBL1925,7,0.00048146573607038177,0.0005491911751487,0.0033702601524926725
CHEMBL1927,25,0.0006197445946052556,0.0013370010511974,0.015493614865131391
CHEMBL1929,6,0.00048607612751168497,0.0005479474365246761,0.0029164567650701097
CHEMBL1935,9,0.0004795806335384665,0.0007375955243429,0.004316225701846198
CHEMBL1936,42,0.0005838372509067636,0.0008521465137426999,0.024521164538084072
CHEMBL1940,13,0.0005001022572169496,0.0007955579593290546,0.006501329343820345
CHEMBL1941,7,0.00045065684146345714,0.0005491911751487,0.0031545978902442
CHEMBL1942,12,0.00046260207152201666,0.00066485240794668,0.0055512248582642
CHEMBL1944,14,0.0005218639640378147,0.0008203549520406166,0.0073060954965294056
CHEMBL1947,9,0.0005499407943611781,0.000599457654030444,0.004949467149250603
CHEMBL1950,7,0.00048306939546947805,0.0005340445333531314,0.0033814857682863465
CHEMBL1951,13,0.0004819319829463543,0.0005773690305196068,0.006265115778302606
CHEMBL1952,8,0.0005240017647799749,0.0005779818484811032,0.004192014118239799
CHEMBL1957,14,0.0006026712760892989,0.0007525872165725572,0.008437397865250185
CHEMBL1958,6,0.0004722250379981332,0.0005043894392236589,0.002833350227988799
CHEMBL1959,11,0.0005469646684968366,0.00068135411495645,0.006016611353465203
CHEMBL1962,7,0.0005305850386252203,0.0008031264859969046,0.003714095270376542
CHEMBL1963,6,0.00047330758108674997,0.0005491911751487,0.0028398454865205
CHEMBL1966,2,0.0004904888349882783,0.00050197665777845,0.0009809776699765565
CHEMBL1968,3,0.00042906342539722974,0.0004790010121981064,0.0012871902761916892
CHEMBL1969,3,0.0006468555297338522,0.0007519097872204,0.0019405665892015564
CHEMBL1970,7,0.0004941975201850215,0.0006175026472933751,0.0034593826412951507
CHEMBL1971,11,0.0005355324418078429,0.0008106735657093666,0.005890856859886272
CHEMBL1972,17,0.0004953111949427915,0.0005682707195867792,0.008420290314027455
CHEMBL1975,10,0.0005679077174039537,0.0006988080319964818,0.005679077174039537
CHEMBL1976,4,0.0005484453996777098,0.0005760236835499,0.0021937815987108393
CHEMBL1977,13,0.0005142821457751001,0.000599457654030444,0.006685667895076302
CHEMBL1978,10,0.00044887795757965726,0.0005043894392236589,0.004488779575796573
CHEMBL1981,10,0.0005744929758591791,0.0007145484551045538,0.005744929758591791
CHEMBL1983,7,0.00043820296242106293,0.0005182265072725687,0.0030674207369474405
CHEMBL1985,11,0.0004831510497724544,0.0005938015641085593,0.005314661547496998
CHEMBL1987,6,0.0004807426459133932,0.0005938015641085593,0.002884455875480359
CHEMBL1988,3,0.0004117704698143908,0.00042590084393565,0.0012353114094431723
CHEMBL1989,12,0.0004602019296474319,0.0005166505408682133,0.0055224231557691825
CHEMBL1991,82,0.0006202152085598416,0.0010381890292212,0.050857647101907016
CHEMBL1992,15,0.0005337418330873939,0.0006177310951590334,0.008006127496310909
