drug,n_pathways_her2,mean_pathway_score_her2,max_pathway_score_her2,sum_pathway_score_her2
CHEMBL1889,9,0.0005112831813621884,0.0008108424355144666,0.0046015486322596956
CHEMBL1892,3,0.0005266405306448393,0.0007670718705019571,0.0015799215919345177
CHEMBL1893,6,0.0004571781953768576,0.000495029402354168,0.0027430691722611453
CHEMBL1898,7,0.00044178151096389693,0.0005267415572554522,0.0030924705767472783
CHEMBL1899,3,0.0004943842959022416,0.0005004671212250302,0.0014831528877067247
CHEMBL1900,5,0.0004754919991073475,0.0005106120661872273,0.0023774599955367374
CHEMBL1901,7,0.00047008174722594075,0.0005914152898280321,0.0032905722305815854
CHEMBL1903,6,0.0004479944920877973,0.000495029402354168,0.0026879669525267835
CHEMBL1904,32,0.0005638635711007496,0.0008762298186756076,0.01804363427522399
CHEMBL1905,73,0.0005934774258678973,0.0011637808096138,0.043323852088356506
CHEMBL1907,6,0.00046056459095726956,0.0005641791011353434,0.0027633875457436174
CHEMBL1910,5,0.0004799937681600193,0.0005001339661636436,0.0023999688408000964
CHEMBL1911,4,0.0004693494716731677,0.000495029402354168,0.0018773978866926707
CHEMBL1912,3,0.00043701857850798306,0.0005138480153230385,0.0013110557355239492
CHEMBL1913,15,0.0005938987110909266,0.0007539562719295883,0.0089084806663639
CHEMBL1914,10,0.0004914883447234065,0.0006371887289965167,0.004914883447234065
CHEMBL1916,17,0.0004672584660740267,0.0006457166545790182,0.007943393923258454
CHEMBL1919,5,0.0005276461567067096,0.0006094101430068667,0.0026382307835335476
CHEMBL1920,7,0.0005376888263197856,0.00083848845790065,0.0037638217842384998
CHEMBL1925,7,0.0004752676931828452,0.0005393420828279791,0.0033268738522799165
CHEMBL1927,25,0.0006202867039873075,0.0013523210653637,0.01550716759968269
CHEMBL1929,7,0.00045427105185707887,0.0005375849566791398,0.003179897362999552
CHEMBL1935,9,0.0004785477017304148,0.000722902125727,0.004306929315573733
CHEMBL1936,42,0.0005935714261660007,0.0008750483985329001,0.02492999989897203
CHEMBL1940,13,0.0004915210288524192,0.0007276162350441847,0.00638977337508145
CHEMBL1941,7,0.0004527179455859511,0.0005393420828279791,0.0031690256191016578
CHEMBL1942,12,0.00046597248605686836,0.0006457166545790182,0.00559166983268242
CHEMBL1944,14,0.000524203317973346,0.0008515685639294166,0.007338846451626844
CHEMBL1947,9,0.0005450588025454991,0.0006011135964601833,0.004905529222909492
CHEMBL1950,7,0.00048049437361021464,0.0005446992870151331,0.0033634606152715026
CHEMBL1951,13,0.0004841368027716889,0.0005706336189103739,0.006293778436031955
CHEMBL1952,8,0.0005182943408041816,0.00057970885510346,0.004146354726433453
CHEMBL1957,14,0.0006119656609055541,0.0007570550520603286,0.008567519252677758
CHEMBL1958,6,0.0004670567256626298,0.0005106120661872273,0.0028023403539757788
CHEMBL1959,11,0.0005487006554615839,0.00067106600263371,0.006035707210077423
CHEMBL1962,7,0.0005376888263197856,0.00083848845790065,0.0037638217842384998
CHEMBL1963,6,0.0004743437398784179,0.0005393420828279791,0.0028460624392705075
CHEMBL1966,2,0.0004888382773465803,0.0004949681406336,0.0009776765546931606
CHEMBL1968,3,0.00042960364559263537,0.00048270841405956066,0.0012888109367779062
CHEMBL1969,3,0.0006726870589792725,0.0007682808923763,0.0020180611769378175
CHEMBL1970,7,0.0004911993775116435,0.0006262790790740187,0.0034383956425815044
CHEMBL1971,11,0.0005318583438595168,0.0008108424355144666,0.005850441782454685
CHEMBL1972,17,0.000498095725735809,0.00057408034090015,0.008467627337508752
CHEMBL1975,10,0.0005728544782710967,0.0006963034958874182,0.005728544782710967
CHEMBL1976,4,0.0005460154342204742,0.00059279275521944,0.002184061736881897
CHEMBL1977,13,0.0005085725747255515,0.0006011135964601833,0.00661144347143217
CHEMBL1978,10,0.0004482572153197005,0.0005106120661872273,0.004482572153197005
CHEMBL1981,10,0.0005911764613830299,0.0007589170980432334,0.005911764613830299
CHEMBL1983,7,0.00044178151096389693,0.0005267415572554522,0.0030924705767472783
CHEMBL1985,11,0.00047795546337022285,0.0005914152898280321,0.005257510097072452
CHEMBL1987,6,0.0004830226077117601,0.0005914152898280321,0.0028981356462705605
CHEMBL1988,3,0.0004241782411827841,0.00045736965391635,0.0012725347235483522
CHEMBL1989,12,0.0004596336361962601,0.0005145978562165841,0.005515603634355121
CHEMBL1991,82,0.0006253571958944247,0.00102231862923305,0.05127929006334282
CHEMBL1992,15,0.0005031102651455029,0.0005915486887906,0.007546653977182543
CHEMBL1993,20,0.0005617127823618336,0.0007791803970895334,0.011234255647236673
CHEMBL1994,12,0.0005592728900650696,0.0007087246690573249,0.006711274680780835
CHEMBL1995,9,0.0004762606410273384,0.0005446992870151331,0.004286345769246046
CHEMBL1996,8,0.0005685105846286558,0.00068351999655145,0.004548084677029246
CHEMBL1997,4,0.0004170580272291407,0.00046544905906265,0.0016682321089165628
CHEMBL2000,9,0.0004342625579263845,0.0005446992870151331,0.00390836302133746
CHEMBL2001,10,0.0005006701423981424,0.0006740722549982221,0.0050067014239814234
CHEMBL2002,12,0.0005041199023147932,0.0005772331246023375,0.006049438827777519
CHEMBL2004,7,0.0005427718529443153,0.0006262790790740187,0.003799402970610207
CHEMBL2008,10,0.0005423838723435354,0.0006262790790740187,0.005423838723435354
