drug,n_pathways_lumb,mean_pathway_score_lumb,max_pathway_score_lumb,sum_pathway_score_lumb,lumb_pathway_overlap_jaccard,n_shared_pathways_lumb,lumb_pathway_enrichment_similarity,n_families_lumb,n_targets_with_family_lumb
CHEMBL2127,6,0.00048317777967,0.0006246380315436,0.0028990666780203,0.0034110289937464,6,0.1027460932235406,1.0,1.0
CHEMBL213,8,0.0004432633077625,0.0005444404172623,0.0035461064621004,0.0045480386583285,8,0.1256778907149364,1.0,1.0
CHEMBL2131,3,0.0007182077402333,0.0008940793730542,0.0021546232206999,0.0017045454545454,3,0.0763622030407416,1.0,1.0
CHEMBL2139,2,0.0005141310125621,0.0005172752565084,0.0010282620251243,0.0011370096645821,2,0.0364427305838295,1.0,1.0
CHEMBL2147,14,0.0005911362934465,0.000862045568783,0.0082759081082515,0.007959067652075,14,0.2933072331335622,1.0,1.0
CHEMBL2148,24,0.0005637059917645,0.0007916713693819,0.0135289438023487,0.0136441159749857,24,0.4794805623723439,1.0,1.0
CHEMBL215,19,0.000441346413133,0.0007054255212777,0.0083855818495288,0.0107405313736574,19,0.2971941904536115,1.0,1.0
CHEMBL2156,3,0.0004337704398546,0.0004798179331667,0.0013013113195638,0.0017055144968732,3,0.0461198961605322,1.0,1.0
CHEMBL2158,5,0.0006538764249195,0.0008817609696392,0.0032693821245976,0.0028425241614553,5,0.1158704775933825,1.0,1.0
CHEMBL2159,5,0.0004684967030226,0.0004924545448787,0.0023424835151134,0.002840909090909,5,0.083020177301614,1.0,1.0
CHEMBL216,8,0.0004560452297153,0.0006110699911817,0.0036483618377228,0.0045480386583285,8,0.1293019330441291,1.0,1.0
CHEMBL2160,8,0.0004926908671503,0.0005758713305384,0.0039415269372024,0.0045454545454545,8,0.1396920247482669,1.0,1.0
CHEMBL2161,6,0.0003815947771002,0.0004896863555226,0.0022895686626015,0.0034090909090909,6,0.0811448170657466,1.0,1.0
CHEMBL2164,26,0.0006116215681944,0.00099734482678,0.0159021607730549,0.0147811256395679,26,0.5635899669474629,1.0,1.0
CHEMBL2167,142,0.0007891203625489,0.0011476929330024,0.1120550914819444,0.0807276861853325,142,3.971354975332271,1.0,1.0
CHEMBL217,5,0.0004297984042266,0.0005130037975436,0.0021489920211334,0.002840909090909,5,0.0761626271703359,1.0,1.0
CHEMBL2171,48,0.0006200988706103,0.0011840479097208,0.029764745789297,0.0272882319499715,48,1.0548951387797585,1.0,1.0
CHEMBL218,6,0.0004657888987291,0.0005265310806402,0.002794733392375,0.0034110289937464,6,0.0990484074909131,1.0,1.0
CHEMBL2182,7,0.0004483841766129,0.0005265310806402,0.0031386892362908,0.0039772727272727,7,0.1112385787179815,1.0,1.0
CHEMBL2184,6,0.0004604195891098,0.0004983975909496,0.0027625175346591,0.0034032898468519,6,0.0979066422651389,1.0,1.0
