drug,tnbc_pathway_enrichment_similarity
CHEMBL3123,0.0005899608847318333
CHEMBL3125,0.00058978322327388
CHEMBL3126,0.0005932646534417
CHEMBL3142,0.00060240492760889
CHEMBL3143,0.00044261676683639094
CHEMBL3155,0.0004595825383994875
CHEMBL3157,0.0004679328519115
CHEMBL3164,0.0004523350145703854
CHEMBL3167,0.0004362094866120667
CHEMBL3191,0.0004807426459133334
CHEMBL3201,0.00044408261926175553
CHEMBL3230,0.00045877805553723336
CHEMBL3233,0.0004771769147034833
CHEMBL3240,0.00052894596873769
CHEMBL3253,0.0005483695557702001
CHEMBL3254,0.0004819319829463153
CHEMBL3256,0.0005109515050671
CHEMBL3276,0.0005445570260381917
CHEMBL3311,0.0004906873260143467
CHEMBL3351,0.0004222751992434285
CHEMBL3371,0.0004506568414634143
CHEMBL3373,0.000506812651615775
CHEMBL3379,0.0004135247209623
CHEMBL3409,0.0005797261554209501
CHEMBL3419,0.00043619758614577144
CHEMBL3421,0.00044476492009188235
CHEMBL3429,0.0005253648938997
CHEMBL3438,0.0006042702862292684
CHEMBL3473,0.00043929187873829997
CHEMBL3474,0.0005523152877250167
CHEMBL3475,0.0005307109665359477
CHEMBL3477,0.00046754874187303753
CHEMBL3478,0.0004852328742390001
CHEMBL3510,0.0004790010121981
CHEMBL3514,0.0004613545706043667
CHEMBL3568,0.00044019689429003326
CHEMBL3572,0.0005275815119292222
CHEMBL3582,0.0005406373817209648
CHEMBL3595,0.0004837425453961637
CHEMBL3610,0.0006061465153305018
CHEMBL3636,0.00046877839906287144
CHEMBL3650,0.0006178284624000021
CHEMBL3708,0.0007196540427524258
CHEMBL3710,0.00045877805553723336
CHEMBL3721,0.00041426009582520585
CHEMBL3723,0.0006622307892006751
CHEMBL3724,0.00047806712819027143
CHEMBL3727,0.00047864845389096667
CHEMBL3764,0.00046877839906287144
CHEMBL3768,0.0005218639640377785
CHEMBL3769,0.00043599750835030904
CHEMBL3770,0.0003995955747363
CHEMBL3775,0.0005669288995633322
CHEMBL3816,0.0004916777623609695
CHEMBL3817,0.0005213086397594445
CHEMBL3819,0.00047806712819027143
CHEMBL3841,0.00040712339535483336
CHEMBL3856,0.0006546736882519833
