drug,n_pathways_luma,mean_pathway_score_luma,max_pathway_score_luma,sum_pathway_score_luma,luma_pathway_overlap_jaccard,n_shared_pathways_luma,luma_pathway_enrichment_similarity
CHEMBL1835,13,0.0001294461427768,0.0002195696374164,0.0016827998560993,0.0048798798798798,13,0.0342095463289564
CHEMBL1836,8,0.0001518114771391,0.0002255186617354,0.001214491817113,0.003003003003003,8,0.0314657848047531
CHEMBL1839,4,0.0001326660082753,0.0001369843434117,0.0005306640331013,0.0015015015015015,4,0.0180599111219442
CHEMBL1842,10,0.0001960577661171,0.000242008767591,0.0019605776611718,0.0037537537537537,10,0.0428804944583871
CHEMBL1843,5,0.0001403086195967,0.000162954214055,0.0007015430979838,0.0018768768768768,5,0.0214323346009627
CHEMBL1845,8,0.0001908979757123,0.0002538148703671,0.0015271838056984,0.003003003003003,8,0.0377220838302663
CHEMBL1846,6,0.0001286062144184,0.0001527906561123,0.0007716372865108,0.0022522522522522,6,0.0216079161492873
CHEMBL1851,13,0.0001956595824209,0.0002732236551659,0.0025435745714717,0.0048798798798798,13,0.049175547319172
CHEMBL1854,7,0.0001894691940759,0.0002255186617354,0.0013262843585319,0.0026276276276276,7,0.0344328627883472
CHEMBL1855,7,0.000188722157541,0.0002202894059907,0.0013210551027872,0.0026276276276276,7,0.0342758015431994
CHEMBL1856,5,0.0001588842277674,0.0002343301092207,0.0007944211388373,0.0018768768768768,5,0.0248951633266722
CHEMBL1859,10,0.0002457257100777,0.0003689516463193,0.0024572571007774,0.0037537537537537,10,0.0549518974408212
CHEMBL1860,9,0.0002555717049178,0.0003566656167356,0.0023001453442605,0.0033783783783783,9,0.0542410066739032
CHEMBL1861,4,0.0001101750943094,0.0001291209215675,0.0004407003772377,0.0015015015015015,4,0.0152113370067135
CHEMBL1864,3,0.0002870649378514,0.0003557852092065,0.0008611948135544,0.0011261261261261,3,0.0343825972212467
CHEMBL1867,19,0.0001963802199566,0.0003557852092065,0.0037312241791772,0.0071321321321321,19,0.0627970339283295
CHEMBL1868,6,0.0003487834307798,0.0004322730371197,0.0020927005846792,0.0022522522522522,6,0.0597343602437663
CHEMBL1869,4,0.0001248850612843,0.000137013376077,0.0004995402451372,0.0015015015015015,4,0.0170728941980245
CHEMBL1871,23,0.0002760885713766,0.0004862683558022,0.0063500371416637,0.0086336336336336,23,0.0953948933258043
CHEMBL1874,8,0.0001024602055074,0.0002195696374164,0.0008196816440595,0.003003003003003,8,0.0218547205216991
CHEMBL1875,8,0.0001672213352127,0.0002255186617354,0.0013377706817023,0.003003003003003,8,0.0329563692018575
CHEMBL1876,8,0.0001027085675064,0.0002195696374164,0.0008216685400515,0.003003003003003,8,0.0218900245833971
CHEMBL1881,8,0.0001518114771391,0.0002255186617354,0.001214491817113,0.003003003003003,8,0.0314657848047531
CHEMBL1882,9,0.0001395956669566,0.0002488679233123,0.0012563610026101,0.0033783783783783,9,0.0308797474226006
CHEMBL1883,9,0.0001395956669566,0.0002488679233123,0.0012563610026101,0.0033783783783783,9,0.0308797474226006
CHEMBL1886,17,0.0001651076728078,0.0002874682894838,0.0028068304377342,0.0063813813813813,17,0.048534634013358
CHEMBL1889,12,0.0001524266858757,0.0002202894059907,0.0018291202305094,0.0045045045045045,12,0.0383660534133076
CHEMBL1892,3,0.0001186188174741,0.0001291209215675,0.0003558564524224,0.0011261261261261,3,0.0140825781779863
CHEMBL1893,6,0.0001956383560812,0.0002233957848034,0.0011738301364874,0.0022522522522522,6,0.0327288738411037
CHEMBL1898,8,0.000163874148169,0.0001987411653855,0.0013109931853524,0.003003003003003,8,0.0321486128300493
CHEMBL1899,3,0.0002187420120273,0.0002488679233123,0.0006562260360819,0.0011261261261261,3,0.0259687408723613
CHEMBL1900,9,0.0001173701727306,0.000157739140487,0.0010563315545755,0.0033783783783783,9,0.0246435509234278
CHEMBL1901,7,0.0001831020121425,0.0002202894059907,0.0012817140849975,0.0026276276276276,7,0.0331971210995627
CHEMBL1903,8,0.0001401787037939,0.0002233957848034,0.0011214296303518,0.003003003003003,8,0.029387179327642
CHEMBL1904,32,0.0003281710161028,0.0007888408568005,0.0105014725152902,0.012012012012012,32,0.1374715064080225
